2026-01-25T21:40:21.189+05:30 DEBUG 15692 --- [gametout] [background-preinit] org.jboss.logging                        : Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2026-01-25T21:40:21.229+05:30 DEBUG 15692 --- [gametout] [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : Trying to load META-INF/validation.xml for XML based Validator configuration.
2026-01-25T21:40:21.230+05:30 DEBUG 15692 --- [gametout] [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via TCCL
2026-01-25T21:40:21.231+05:30 DEBUG 15692 --- [gametout] [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2026-01-25T21:40:21.232+05:30 DEBUG 15692 --- [gametout] [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : No META-INF/validation.xml found. Using annotation based configuration only.
2026-01-25T21:40:21.244+05:30 DEBUG 15692 --- [gametout] [background-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Found jakarta.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
2026-01-25T21:40:21.247+05:30 DEBUG 15692 --- [gametout] [background-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
2026-01-25T21:40:21.274+05:30  INFO 15692 --- [gametout] [main] c.gametout.gametout.GametoutApplication  : Starting GametoutApplication using Java 21.0.6 with PID 15692 (D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main started by gargd in D:\dev\GameTout\GameTout-Backend\gametout)
2026-01-25T21:40:21.275+05:30 DEBUG 15692 --- [gametout] [main] c.gametout.gametout.GametoutApplication  : Running with Spring Boot v3.3.4, Spring v6.1.13
2026-01-25T21:40:21.277+05:30  INFO 15692 --- [gametout] [main] c.gametout.gametout.GametoutApplication  : No active profile set, falling back to 1 default profile: "default"
2026-01-25T21:40:21.279+05:30 DEBUG 15692 --- [gametout] [main] o.s.boot.SpringApplication               : Loading source class com.gametout.gametout.GametoutApplication
2026-01-25T21:40:21.303+05:30 DEBUG 15692 --- [gametout] [background-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2026-01-25T21:40:21.383+05:30 DEBUG 15692 --- [gametout] [main] ConfigServletWebServerApplicationContext : Preparing bean factory for AOT processing
2026-01-25T21:40:21.384+05:30 DEBUG 15692 --- [gametout] [main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@64ba3208
2026-01-25T21:40:21.422+05:30 DEBUG 15692 --- [gametout] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2026-01-25T21:40:21.530+05:30 DEBUG 15692 --- [gametout] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2026-01-25T21:40:21.543+05:30 DEBUG 15692 --- [gametout] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2026-01-25T21:40:21.550+05:30 DEBUG 15692 --- [gametout] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2026-01-25T21:40:21.550+05:30 DEBUG 15692 --- [gametout] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
2026-01-25T21:40:21.551+05:30 DEBUG 15692 --- [gametout] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2026-01-25T21:40:21.552+05:30 DEBUG 15692 --- [gametout] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2026-01-25T21:40:21.552+05:30 DEBUG 15692 --- [gametout] [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2026-01-25T21:40:21.618+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\configuration\FirebaseConfig.class]
2026-01-25T21:40:21.624+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\configuration\RedisConfig.class]
2026-01-25T21:40:21.625+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\configuration\S3Config.class]
2026-01-25T21:40:21.631+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\configuration\SecurityConfig.class]
2026-01-25T21:40:21.635+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\config\RazorpayConfig.class]
2026-01-25T21:40:21.652+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\AdminContentBlockController.class]
2026-01-25T21:40:21.657+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\AdminPostController.class]
